Nominal tyre load,Normalised longitudinal and lateral grip
0,2
200,1.8938
228,1.8673
300,1.8219
400,1.786
445,1.7751
500,1.7644
600,1.7501
667,1.7429
700,1.7398
800,1.6135
890,1.6847
900,1.6828
1000,1.6651
1100,1.6384
1112,1.6363
1200,1.622
1300,1.6082
1400,1.5963
1500,1.586
1600,1.577
1700,1.5691
1800,1.562
1900,1.5557
2000,1.55
2100,1.5449
2200,1.5402
2300,1.5359
2400,1.532
2500,1.5284
2600,1.5251
2700,1.522
2800,1.5192
2900,1.5165
3000,1.514
3100,1.5117
4000,1.496
5000,1.4852
6000,1.478
7000,1.4729
8000,1.469
9000,1.466
10000,1.4636
11000,1.4617
12000,1.46
13000,1.4586
14000,1.4575
15000,1.4564
